dictionary,hiragana,meaning,type,transitivity,te,past,negative,negativePast,polite,potential,passive,causative,causativePassive,conditional,imperative,volitional,prohibitive,lesson
チェックする,チェックする,检查,不规则动词,他动词,チェックして,チェックした,チェックしない,チェックしなかった,チェックします,チェックできる,チェックされる,チェックさせる,チェックさせられる,チェックすれば,チェックしろ,チェックしよう,チェックするな,125
防ぐ,ふせぐ,防止,五段动词,他动词,防いで,防いだ,防がない,防がなかった,防ぎます,防げる,防がれる,防がせる,防がせられる,防げば,防げ,防ごう,防ぐな,126
回る,まわる,旋转巡回,五段动词,自动词,回って,回った,回らない,回らなかった,回ります,回れる,回られる,回らせる,回らせられる,回れば,回れ,回ろう,回るな,126
走る,はしる,跑,五段动词,自动词,走って,走った,走らない,走らなかった,走ります,走れる,走られる,走らせる,走らせられる,走れば,走れ,走ろう,走るな,126
吹く,ふく,吹,五段动词,自他动词,吹いて,吹いた,吹かない,吹かなかった,吹きます,吹ける,吹かれる,吹かせる,吹かせられる,吹けば,吹け,吹こう,吹くな,126
挙げる,あげる,举起；提出；举例,一段动词,他动词,挙げて,挙げた,挙げない,挙げなかった,挙げます,挙げられる,挙げられる,挙げさせる,挙げさせられる,挙げれば,挙げろ,挙げよう,挙げるな,126
足りる,たりる,足够；够用,一段动词,自动词,足りて,足りた,足りない,足りなかった,足ります,-,-,-,-,足りれば,-,足りよう,足りるな,126
スケッチする,すけっちする,写生；素描,不规则动词,他动词,スケッチして,スケッチした,スケッチしない,スケッチしなかった,スケッチします,スケッチできる,スケッチされる,スケッチさせる,スケッチさせられる,スケッチすれば,スケッチしろ,スケッチしよう,スケッチするな,126
発言する,はつげんする,发言,不规则动词,自动词,発言して,発言した,発言しない,発言しなかった,発言します,発言できる,発言される,発言させる,発言させられる,発言すれば,発言しろ,発言しよう,発言するな,126
優勝する,ゆうしょうする,获胜；取得冠军,不规则动词,自动词,優勝して,優勝した,優勝しない,優勝しなかった,優勝します,優勝できる,優勝される,優勝させる,優勝させられる,優勝すれば,優勝しろ,優勝しよう,優勝するな,126
合格する,ごうかくする,合格；通过考试,不规则动词,自动词,合格して,合格した,合格しない,合格しなかった,合格します,合格できる,合格される,合格させる,合格させられる,合格すれば,合格しろ,合格しよう,合格するな,126
約束する,やくそくする,约定；承诺,不规则动词,他动词,約束して,約束した,約束しない,約束しなかった,約束します,約束できる,約束される,約束させる,約束させられる,約束すれば,約束しろ,約束しよう,約束するな,126
通う,かよう,往返；上学；上班,五段动词,自动词,通って,通った,通わない,通わなかった,通います,通える,通われる,通わせる,通わせられる,通えば,通え,通おう,通うな,127
集まる,あつまる,集合；聚集,五段动词,自动词,集まって,集まった,集まらない,集まらなかった,集まります,集まれる,集まられる,集まらせる,集まらせられる,集まれば,集まれ,集まろう,集まるな,127
踊る,おどる,跳舞,五段动词,自动词,踊って,踊った,踊らない,踊らなかった,踊ります,踊れる,踊られる,踊らせる,踊らせられる,踊れば,踊れ,踊ろう,踊るな,127
要る,いる,需要,五段动词,自动词,要って,要った,要らない,要らなかった,要ります,要れる,要られる,要らせる,要らせられる,要れば,要れ,要ろう,要るな,127
困る,こまる,困扰，为难,五段动词,自动词,困って,困った,困らない,困らなかった,困ります,困れる,困られる,困らせる,困らせられる,困れば,困れ,困ろう,困るな,127
叩く,たたく,敲，打,五段动词,他动词,叩いて,叩いた,叩かない,叩かなかった,叩きます,叩ける,叩かれる,叩かせる,叩かせられる,叩けば,叩け,叩こう,叩くな,127
入れる,いれる,放入，装入,一段动词,他动词,入れて,入れた,入れない,入れなかった,入れます,入れられる,入れられる,入れさせる,入れさせられる,入れれば,入れろ,入れよう,入れるな,127
看病する,かんびょうする,护理，照顾病人,不规则动词,他动词,看病して,看病した,看病しない,看病しなかった,看病します,看病できる,看病される,看病させる,看病させられる,看病すれば,看病しろ,看病しよう,看病するな,127
喧嘩する,けんかする,吵架，争吵,不规则动词,自动词,喧嘩して,喧嘩した,喧嘩しない,喧嘩しなかった,喧嘩します,喧嘩できる,喧嘩される,喧嘩させる,喧嘩させられる,喧嘩すれば,喧嘩しろ,喧嘩しよう,喧嘩するな,127
利用する,りようする,利用，使用,不规则动词,他动词,利用して,利用した,利用しない,利用しなかった,利用します,利用できる,利用される,利用させる,利用させられる,利用すれば,利用しろ,利用しよう,利用するな,127
相談する,そうだんする,商量，协商,不规则动词,自他动词,相談して,相談した,相談しない,相談しなかった,相談します,相談できる,相談される,相談させる,相談させられる,相談すれば,相談しろ,相談しよう,相談するな,127
拾う,ひろう,捡起，拾起,五段动词,他动词,拾って,拾った,拾わない,拾わなかった,拾います,拾える,拾われる,拾わせる,拾わせられる,拾えば,拾え,拾おう,拾うな,128
訳す,やくす,翻译,五段动词,他动词,訳して,訳した,訳さない,訳さなかった,訳します,訳せる,訳される,訳させる,訳させられる,訳せば,訳せ,訳そう,訳すな,128
呉れる,くれる,给(我或我方),一段动词,他动词,呉れて,呉れた,呉れない,呉れなかった,呉れます,呉れられる,呉れられる,呉れさせる,呉れさせられる,呉れれば,呉れ,呉れよう,呉れるな,128
届ける,とどける,送达，提交,一段动词,他动词,届けて,届けた,届けない,届けなかった,届けます,届けられる,届けられる,届けさせる,届けさせられる,届ければ,届けろ,届けよう,届けるな,128
案内する,あんないする,引导，介绍,不规则动词,他动词,案内して,案内した,案内しない,案内しなかった,案内します,案内できる,案内される,案内させる,案内させられる,案内すれば,案内しろ,案内しよう,案内するな,128
交換する,こうかんする,交换,不规则动词,他动词,交換して,交換した,交換しない,交換しなかった,交換します,交換できる,交換される,交換させる,交換させられる,交換すれば,交換しろ,交換しよう,交換するな,128
紹介する,しょうかいする,介绍,不规则动词,他动词,紹介して,紹介した,紹介しない,紹介しなかった,紹介します,紹介できる,紹介される,紹介させる,紹介させられる,紹介すれば,紹介しろ,紹介しよう,紹介するな,128
止まる,とまる,停止，停下,五段动词,自动词,止まって,止まった,止まらない,止まらなかった,止まります,止まれる,止まられる,止まらせる,止まらせられる,止まれば,止まれ,止まろう,止まるな,129
変わる,かわる,变化，改变,五段动词,自动词,変わって,変わった,変わらない,変わらなかった,変わります,変われる,変わられる,変わらせる,変わらせられる,変われば,変われ,変わろう,変わるな,129
頑張る,がんばる,努力，加油,五段动词,自动词,頑張って,頑張った,頑張らない,頑張らなかった,頑張ります,頑張れる,頑張られる,頑張らせる,頑張らせられる,頑張れば,頑張れ,頑張ろう,頑張るな,129
謝る,あやまる,道歉,五段动词,自动词,謝って,謝った,謝らない,謝らなかった,謝ります,謝れる,謝られる,謝らせる,謝らせられる,謝れば,謝れ,謝ろう,謝るな,129
サボる,さぼる,偷懒，旷工,五段动词,自动词,サボって,サボった,サボらない,サボらなかった,サボります,サボれる,サボられる,サボらせる,サボらせられる,サボれば,サボれ,サボろう,サボるな,129
破る,やぶる,"撕破,打破",五段动词,他动词,破って,破った,破らない,破らなかった,破ります,破れる,破られる,破らせる,破らせられる,破れば,破れ,破ろう,破るな,129
引く,ひく,"拉,抽,引",五段动词,他动词,引いて,引いた,引かない,引かなかった,引きます,引ける,引かれる,引かせる,引かせられる,引けば,引け,引こう,引くな,129
